library,target,variant_class,EC50_C68_61,sd_EC50_C68_61,n_bc_EC50_C68_61,EC50_C68_183,sd_EC50_C68_183,n_bc_EC50_C68_183,EC50_C68_185,sd_EC50_C68_185,n_bc_EC50_C68_185,EC50_C68_3,sd_EC50_C68_3,n_bc_EC50_C68_3,EC50_C68_10,sd_EC50_C68_10,n_bc_EC50_C68_10,EC50_C68_88,sd_EC50_C68_88,n_bc_EC50_C68_88,EC50_C68_201,sd_EC50_C68_201,n_bc_EC50_C68_201,EC50_C68_239,sd_EC50_C68_239,n_bc_EC50_C68_239,EC50_C68_490,sd_EC50_C68_490,n_bc_EC50_C68_490,expr,delta_expr
lib61_SARSr-wts,AncClade2_alt,wildtype,0.26341,0.17926,167,378.78386,0.36163,287,1.01052,0.19408,228,68765.62191,0.21901,299,76904.21265,0.19307,299,2.02549,0.11775,281,0.25723,0.12709,277,88667.2045,0.12072,300,0.34507,0.15579,286,10.1085,-0.0425
lib61_SARSr-wts,AncClade2_tree2,wildtype,0.27649,0.19247,160,261.87031,0.36917,271,1.13643,0.19475,211,58864.47099,0.25304,289,16268.70994,0.27264,268,1.82589,0.10867,257,0.23067,0.11863,267,90202.38249,0.11347,268,0.28163,0.14161,273,10.1975,0.0465
lib61_SARSr-wts,AncClade2_alt1_subs-only,wildtype,24.80655,0.53687,128,81078.35494,0.17571,224,52.61402,0.59004,115,81590.668,0.15845,221,92804.94541,0.09276,217,152.6673,0.44056,167,819.8878,0.80562,36,88714.69184,0.12041,208,3.2639,0.31727,222,7.9724,-2.1786
lib61_SARSr-wts,AncClade2_alt2_del1-only,wildtype,0.33511,0.22471,160,18.54694,0.20575,265,1.01398,0.20778,184,26423.30777,0.29868,269,0.74883,0.16518,176,2.61176,0.10081,249,0.39495,0.158,257,0.58556,0.13577,205,0.2592,0.12425,244,9.7922,-0.3588
lib61_SARSr-wts,AncClade2_alt3_del2-only,wildtype,0.32547,0.18099,114,26.08579,0.2216,227,1.52381,0.19426,189,61354.69873,0.25043,229,108.47163,0.20588,218,3.14007,0.07824,234,0.58234,0.14824,219,0.62881,0.14015,182,0.31858,0.15644,221,9.8996,-0.2514
lib61_SARSr-wts,AncClade2_alt4_dels-only,wildtype,0.71589,0.2434,190,64.70813,0.26431,246,2.21428,0.14134,249,75229.94358,0.21244,255,9351.65901,0.29544,262,2.96464,0.09331,259,1.70879,0.12652,264,2.195,0.13559,254,0.9064,0.175,262,8.9982,-1.1528
lib61_SARSr-wts,Rf4092,wildtype,0.34273,0.18857,175,40119.18432,0.2989,346,1.00684,0.21807,245,69365.24053,0.23613,336,89388.26757,0.122,324,8.55821,0.16951,320,0.68423,0.15088,314,87392.64917,0.12738,316,0.82634,0.17907,322,10.1219,-0.0291
lib61_SARSr-wts,RmYN02,wildtype,0.32948,0.19733,163,21.8166,0.26912,267,1.11246,0.21529,218,70335.10029,0.21526,276,56714.60475,0.27596,273,5.22847,0.11528,270,0.72424,0.14676,270,89660.4886,0.11467,267,0.34164,0.15709,269,10.1948,0.0438
lib61_SARSr-wts,YN2013,wildtype,0.33263,0.20192,128,978.16834,0.35041,240,1.03149,0.23142,170,65842.83482,0.23868,243,83632.53719,0.16724,216,3.51352,0.0753,218,0.97207,0.13843,216,90770.83217,0.10711,210,0.42943,0.17762,217,10.2178,0.0668
lib61_SARSr-wts,ZC45,wildtype,0.54746,0.21602,235,880.38615,0.33643,314,1.86563,0.15791,295,71727.02195,0.21337,317,90317.98588,0.1121,302,4.94117,0.1125,302,2.61879,0.13301,304,88799.60942,0.11844,305,0.36465,0.15751,296,10.0426,-0.1084
